Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,21404,,21404,,21404,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
11,21404,,21404,,21404,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
7,21404,,21404,,21404,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
1,21404,,21404,,21404,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,001,C,Letter Grade,C,Found Us Air Force
1,34134,,34134,,34134,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,002,A,Letter Grade,A+,Found Us Air Force
3,34134,,34134,,34134,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,002,A,Letter Grade,A,Found Us Air Force
2,34134,,34134,,34134,Beverly Davis; Shawn Stappen,,Aerospace Studies,1A,002,A,Letter Grade,A-,Found Us Air Force
21,21403,,21403,,21403,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
9,21403,,21403,,21403,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
2,21403,,21403,,21403,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
2,21403,,21403,,21403,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
2,21403,,21403,,21403,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
6,34136,,34136,,34136,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,002,A,Letter Grade,A+,Evolut Of Air Power
4,34136,,34136,,34136,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,002,A,Letter Grade,A,Evolut Of Air Power
1,34136,,34136,,34136,Beverly Davis; Shawn Stappen,,Aerospace Studies,2A,002,A,Letter Grade,A-,Evolut Of Air Power
75,20918,,20918,,20918,Andrew Emerson; Shawn Stappen,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,20918,,20918,,20918,Andrew Emerson; Shawn Stappen,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Satisfactory,Leadership Lab
3,34171,,34171,,34171,Andrew Emerson; Shawn Stappen,,Aerospace Studies,100,002,Credit,Non-Letter Grade,Pass,Leadership Lab
