Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,30475,,30475,,30475,Andrew Emerson,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
7,30475,,30475,,30475,Andrew Emerson,,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
11,21303,,21303,,21303,Andrew Emerson,,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
11,21303,,21303,,21303,Andrew Emerson,,Aerospace Studies,1B,001,A,Letter Grade,A-,Found Us Air Force
1,21303,,21303,,21303,Andrew Emerson,,Aerospace Studies,1B,001,B,Letter Grade,B+,Found Us Air Force
1,21303,,21303,,21303,Andrew Emerson,,Aerospace Studies,1B,001,B,Letter Grade,B,Found Us Air Force
7,26080,,26080,,26080,Andrew Emerson,,Aerospace Studies,1B,002,A,Letter Grade,A,Found Us Air Force
3,26080,,26080,,26080,Andrew Emerson,,Aerospace Studies,1B,002,A,Letter Grade,A-,Found Us Air Force
1,26080,,26080,,26080,Andrew Emerson,,Aerospace Studies,1B,002,B,Letter Grade,B+,Found Us Air Force
7,21305,,21305,,21305,Andrew Emerson,,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
5,21305,,21305,,21305,Andrew Emerson,,Aerospace Studies,2B,001,A,Letter Grade,A-,Evolut Of Air Power
1,26081,,26081,,26081,Andrew Emerson,,Aerospace Studies,2B,002,A,Letter Grade,A,Evolut Of Air Power
6,26081,,26081,,26081,Andrew Emerson,,Aerospace Studies,2B,002,A,Letter Grade,A-,Evolut Of Air Power
12,21306,,21306,,21306,Andrew Emerson,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
13,21307,,21307,,21307,Andrew Emerson,,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
14,21307,,21307,,21307,Andrew Emerson,,Aerospace Studies,135B,001,A,Letter Grade,A-,Air Force Studies
1,21307,,21307,,21307,Andrew Emerson,,Aerospace Studies,135B,001,B,Letter Grade,B+,Air Force Studies
5,21308,,21308,,21308,Mariko Pegs; Ula Taylor,,African American Studies,R1A,001,A,Letter Grade,A,Fresh Composition
1,21308,,21308,,21308,Mariko Pegs; Ula Taylor,,African American Studies,R1A,001,A,Letter Grade,A-,Fresh Composition
5,21308,,21308,,21308,Mariko Pegs; Ula Taylor,,African American Studies,R1A,001,B,Letter Grade,B+,Fresh Composition
4,21308,,21308,,21308,Mariko Pegs; Ula Taylor,,African American Studies,R1A,001,B,Letter Grade,B,Fresh Composition
3,21308,,21308,,21308,Mariko Pegs; Ula Taylor,,African American Studies,R1A,001,B,Letter Grade,B-,Fresh Composition
2,25271,,25271,,25271,Sam Mchombo,,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Composition
