Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
5,13368,,13368,,13368,Nicole Ramsey; Ula Taylor,,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
1,13368,,13368,,13368,Nicole Ramsey; Ula Taylor,,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
1,13368,,13368,,13368,Nicole Ramsey; Ula Taylor,,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,13368,,13368,,13368,Nicole Ramsey; Ula Taylor,,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Composition
5,13370,,13370,,13370,Cara Stanley; Patrick Johnson; Ula Taylor,,African American Studies,39D,001,A,Letter Grade,A-,Fresh/Soph Seminar
7,13370,,13370,,13370,Cara Stanley; Patrick Johnson; Ula Taylor,,African American Studies,39D,001,B,Letter Grade,B,Fresh/Soph Seminar
2,13370,,13370,,13370,Cara Stanley; Patrick Johnson; Ula Taylor,,African American Studies,39D,001,B,Letter Grade,B-,Fresh/Soph Seminar
1,13370,,13370,,13370,Cara Stanley; Patrick Johnson; Ula Taylor,,African American Studies,39D,001,C,Letter Grade,C+,Fresh/Soph Seminar
2,13370,,13370,,13370,Cara Stanley; Patrick Johnson; Ula Taylor,,African American Studies,39D,001,C,Letter Grade,C,Fresh/Soph Seminar
12,15618,,15618,,15618,Patrick Johnson; Ula Taylor,,African American Studies,39D,002,A,Letter Grade,A,Fresh/Soph Seminar
7,15618,,15618,,15618,Patrick Johnson; Ula Taylor,,African American Studies,39D,002,B,Letter Grade,B,Fresh/Soph Seminar
1,15618,,15618,,15618,Patrick Johnson; Ula Taylor,,African American Studies,39D,002,C,Letter Grade,C,Fresh/Soph Seminar
1,15618,,15618,,15618,Patrick Johnson; Ula Taylor,,African American Studies,39D,002,No Credit,Non-Letter Grade,Not Pass,Fresh/Soph Seminar
2,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,A,Letter Grade,A+,"Race, Class & Gen"
7,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,A,Letter Grade,A,"Race, Class & Gen"
11,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,A,Letter Grade,A-,"Race, Class & Gen"
6,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,B,Letter Grade,B+,"Race, Class & Gen"
4,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,B,Letter Grade,B,"Race, Class & Gen"
1,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,C,Letter Grade,C,"Race, Class & Gen"
4,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,F,Letter Grade,F,"Race, Class & Gen"
33,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,Credit,Non-Letter Grade,Pass,"Race, Class & Gen"
10,13372,,13372,,13372,Stephen Small,,African American Studies,W111,001,No Credit,Non-Letter Grade,Not Pass,"Race, Class & Gen"
7,14427,,14427,,14427,Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A+,Hist Mod Civ Rt Mov
11,14427,,14427,,14427,Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A,Hist Mod Civ Rt Mov
17,14427,,14427,,14427,Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,A,Letter Grade,A-,Hist Mod Civ Rt Mov
14,14427,,14427,,14427,Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B+,Hist Mod Civ Rt Mov
6,14427,,14427,,14427,Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B,Hist Mod Civ Rt Mov
12,14427,,14427,,14427,Rashad Timmons; Ula Taylor,,African American Studies,125AC,001,B,Letter Grade,B-,Hist Mod Civ Rt Mov
