Name,Geoloc,Pinned
;) The University of Blake,Address not found,
????,Address not found,
.,Address not found,
Iowa State University,"42.0266573, -93.64645159999999",
Universitat Oberta de Catalunya,"41.40654929999999, 2.1945038",
**MVS: Root Account,Address not found,
Alhambra Elementary School District,"33.5119298, -112.1370601",
NCCA,"53.3474189, -6.2780217",
Ziegler Group International,Address not found,
0 Hernando County,"28.5578826, -82.4752757",
00 | Ministry of Education and Higher Education,"33.879587, 35.4860917",
01 Corona-Norco Adult School,"33.9311257, -117.548661",
1 VCMT Canvas,Address not found,
1-Global Heritage,Address not found,
1. Christian Education Ministries,"-33.4355446, 151.3863751",
"100 Academy of Excellence, an Imagine School",Address not found,
1199SEIU Training & Employment Funds,Address not found,
11th Hour Training Solutions,Address not found,
12Comics,"40.7425757, -74.1687227",
148 Educação,Address not found,
160 Driving Academy,Address not found,
1CSU Humboldt,"40.7450055, -123.8695086",
1st Learn To Drive,"45.4645006, -122.6522646",
2 Hour Learning - Root Account,Address not found,
20FIFTY Partners,"52.6705572, -8.551525",
21st Century Cyber Charter School,"40.0025357, -75.6891338",
21st Century Public Academy (Lite),"55.9754642, -3.1665302",
23andMe,Address not found,TRUE
240 Certification,Address not found,
2CPR Group,Address not found,
2U,Address not found,
2U Degree,Address not found,
2U-Trust,Address not found,
"2U, Inc.",Address not found,
3 Seeds Mentoring Group,"41.6034521, -87.7496116",
3&Punt Solucions Informàtiques S.L.,Address not found,
368th Training Squadron,Address not found,
3Bridges Community,"-33.9636535, 151.0838623",
3DE National,Address not found,
4-H Learning Resources,Address not found,
42Lines,Address not found,
4C Ministry Institute,Address not found,
6x6 Careers LLC,Address not found,
95 Percent Group,Address not found,
A Escola da Giselle,Address not found,
A Plus College Ready,Address not found,
A-List & Oxbridge Applications,Address not found,
A-List Education USA,"40.750564, -73.98510999999999",
A-Train Academy,"33.1424195, -97.0507897",
A. Linwood Holton Governor's School,Address not found,
A.C.Camargo Cancer Center,"-23.5653301, -46.63594699999999",
A.L. Ballard,Address not found,
A.T. Still University,"40.19314929999999, -92.58941430000002",
A+ Unlimited Potential,"29.7423396, -95.36538879999999",
A+ Virtual Learning,"40.74706339999999, -73.267043",
A21,Address not found,
A4LE,"33.5884153, -111.8347423",
"AAA Academy (Wellness Center, S.A)",Address not found,
AAA School of Dental Assisting,"28.78924, -81.272682",
AACM and Bellevue Beauty,Address not found,
AACPS,"38.9994048, -76.5950555",
AACSB International,Address not found,
Aalto University Executive Education,"60.1857984, 24.8271146",
Aaron Suggs - Career,Address not found,
AARP Foundation Experience Corps,"38.8964301, -77.0205524",
AASA,"58.685434, 24.5036554",
Aauti,Address not found,
AB Academy,"43.4496608, -79.69350879999999",
ABA Technologies,"28.4068825, 76.997787",
Abaci Dental Solutions,Address not found,
ABANA Enterprises Group Co.,"24.6757947, 46.6657819",
ABBC - Associação Brasileira de Bancos,"-14.235004, -51.92528",
Abbotsford Division of Family Practice,"49.0504377, -122.3044697",
Abbotsleigh School for Girls,"-33.7197195, 151.1155734",
Abby Harris,Address not found,
ABC Math Academy,"12.1283545, 78.1574318",
ABC Unified School District,"33.8796695, -118.0712901",
ABC UNIVERSITY,"39.9657208, -75.2250023",
ABCO Technology,"33.9886826, -118.3510036",
Abcott Institute,"42.4464154, -83.21062069999999",
Aberdeen Hall,"49.9344088, -119.4025046",
Aberdeen School District,"45.4742195, -98.49285859999999",
Abertay University,"56.463307, -2.973917",
ABF Vuxenutbildning,"57.7052594, 11.9912359",
Abilene,"32.4534878, -99.73128290000001",
Abilene Christian University,"32.4700922, -99.7080103",
Abington Friends School,"40.0945616, -75.1213353",
Abington Public Schools,"42.1213669, -70.96062409999999",
ABQ Charter Academy,"35.0862917, -106.642533",
ABS Institute Pty Ltd,"-31.9936893, 115.914243",
