U1	U2	U3	Title	School	Total_Edits
1.7371838	7.4009557	1.8626394	Return on investment	UCLA	1
0.9157651	9.79563	0.06692293	Champagne	UCLA	1
2.340961	9.376388	1.2441715	Allah	UCR	4
1.0059637	10.1199465	2.0165024	Polynesia	UCB	7
0.20164664	6.4329433	-0.68514055	Theoretical astrophysics	UCSC	1
-4.571068	10.868319	0.1338742	Tennessee Williams	UCSD	2
-0.2937496	8.075329	-1.6434159	Un*x	UCR	2
1.8225061	6.566391	-0.19594331	Homomorphism	UCR	4
1.8519726	6.8765216	-0.10067074	Morphism	UCR	2
1.6530186	4.225093	2.7929254	Wikipedia:Patent nonsense	UCR	3
0.31061402	7.063785	-0.1499541	0	UCSD	3
2.0279956	6.947714	0.30144238	Abelian category	UCR	1
1.4097412	6.2271943	-0.23083377	Group (mathematics)	UCR	1
1.5614393	6.655948	-0.010879509	Injective function	UCLA	9
1.5589322	6.467741	0.02364663	Surjective function	UCR	7
1.6540887	6.708782	-0.30457535	Order of magnitude	UCD	4
1.6477988	6.190366	-0.012853373	Universal algebra	UCB	6
1.5148396	6.066755	0.037849817	Associative algebra	UCR	5
1.7284372	3.9946635	2.8432727	Wikipedia:Requested articles deemed complete	UCR	2
2.2056692	9.722526	2.2018545	Cyrillic script	UCR	4
2.122787	9.764977	2.3919992	Belarusian language	UCR	10
2.1179388	9.758433	2.4265025	Belarusians	UCI	4
1.6660742	9.866677	1.2673472	Belorussian language	UCR	2
1.0790621	5.8392954	-0.36037794	Ring (mathematics)	UCR	3
1.4613478	6.4025507	0.122339085	Function	UCR	3
0.9715389	8.421346	-1.2751781	Bleen	UCR	1
1.4608752	6.113555	-0.27546445	Congruence	UCR	3
1.6481353	6.5054927	-0.1984988	Isomorphism theorems	UCR	1
1.6467608	5.9218044	0.106431045	Kernel (algebra)	UCR	1
1.2090513	6.662293	0.04693156	Subalgebra	UCR	1
2.0320792	6.537521	0.2459479	Cardinal number	UCR	1
1.5494161	6.4404383	0.15628624	Subset	UCR	1
1.5604566	6.393448	0.17293106	Set (mathematics)	UCSB	4
1.6181849	6.77958	0.008285051	Bijection	UCI	3
-0.058230937	7.892026	0.17739905	Blackboard bold	UCSC	2
-2.917934	10.523509	-2.1593864	Grue	UCR	1
1.7255431	3.9824438	2.842926	Wikipedia:Requested articles	UCR	4
0.17796987	13.774376	0.82842135	User:Toby~enwiki	UCR	1
1.7349379	3.9773803	2.8638828	Wikipedia:Article titles	UCR	1
2.0763128	9.745761	2.4778237	Belarus	UCR	1
1.3608912	6.5096703	0.17988233	Empty set	UCR	1
1.5725298	6.11957	-0.040683135	Abstract algebra	UCR	1
1.7944314	3.9187224	2.8258882	Wikipedia:Topic creation	UCR	1
0.08200002	8.150876	-1.4352918	Clef	UCSC	4
0.054961897	8.19242	-1.3854015	Treble clef	UCSC	4
-1.0673801	9.174737	1.4590257	C (musical note)	UCSC	2
-1.4475982	9.6431265	1.0521324	Bass clef	UCSC	2
-0.018941531	8.020657	-1.3085296	F clef	UCSC	2
-0.9059612	9.127112	1.4269134	Music	UCSC	6
0.6252949	6.912405	0.85595566	Talk:Main Page	UCSD	22
1.6352198	7.2472634	0.2917644	Physical phenomenon	UCI	1
1.6383843	4.208855	2.8199713	Wikipedia talk:Patent nonsense/Archive 1	UCR	1
1.9621149	6.082705	0.17039481	Probability distribution	UCR	8
0.59479636	9.984806	0.2254691	Pizza	UCB	5
-1.3610511	9.498661	1.3276696	String instrument	UCSC	3
1.6643578	6.4729395	-0.4836242	Dense	UCR	1
-1.3625362	9.497875	1.3394359	Musical instrument	UCSC	5
-1.344929	9.543061	1.2537383	Percussion instrument	UCSC	2
-1.2979354	9.55131	1.2860018	Trombone	UCSC	4
-1.3226203	9.45678	1.5868325	Orchestra	UCSC	1
-1.2197093	8.061311	-1.439381	Wiesbaden	UCR	1
0.0052062925	13.902021	0.73222923	User:Merphant	UCSC	1
1.5235106	9.603549	1.0712084	Language	UCSC	1
0.37193495	10.156942	3.1608582	San Francisco	UCB	29
0.93317187	8.709455	1.2549139	Green party	UCB	4
-3.129558	10.345987	-1.9474233	Igor Stravinsky	UCSC	6
-1.364869	9.588589	1.089143	Drum	UCSC	3
-3.659964	10.5193	-0.5371611	Cornett	UCSC	2
-0.9269154	8.700396	3.9210887	Sport	UCSC	2
-0.13213937	7.529268	0.05417481	Wind instrument	UCSC	1
-0.94910157	9.200199	1.5616623	Music theory	UCSC	7
-1.4383796	9.615724	1.1162091	Drummer	UCSC	4
-1.4906499	9.475289	1.4509866	Pianist	UCI	5
-0.9873485	9.240534	1.5967029	Staff (music)	UCSC	1
1.746841	6.6487927	0.63021594	Symbolic logic	UCR	1
-1.0033503	9.22232	1.5275646	Musical ensemble	UCSD	2
-0.17992444	8.738822	-1.4577724	Trombonist	UCSC	1
-1.3126442	9.82436	1.7746661	Jazz	UCB	4
-1.3827223	9.493143	1.2274278	Instrumentalist	UCSC	1
1.3319807	10.10583	2.4395673	History of El Salvador	UCB	3
-1.3058136	9.516827	1.3227613	Woodwind instrument	UCSC	1
0.6627137	9.571734	1.9722308	Kangaroo	UCSC	9
1.8658942	9.06411	2.0173564	Pledge of Allegiance	UCB	1
0.8232897	6.981906	1.2747065	Digital Equipment Corporation	UCB	1
-2.4863226	10.378576	-0.5585566	Augustus De Morgan	UCB	2
0.53924143	9.586202	3.3108578	Bay Area Rapid Transit	UCB	17
1.3911355	6.3935122	-0.036162585	Triangle	UCSC	1
2.4634967	9.076719	1.782071	Terrorism	UCLA	5
0.15793438	7.5414457	0.8685801	Hollow earth (disambiguation)	UCD	1
0.084828176	7.5179543	0.868584	Hollow Earth	UCSD	2
0.107997656	8.153834	-1.436343	G clef	UCSC	1
-3.5664623	10.190205	-0.9212124	Richard J. Daley	UCB	3
-0.6121204	8.170008	-1.5461354	Lapin Agile	UCB	1
1.929651	6.0988264	-0.26086074	Hausdorff space	UCR	1
-0.3217756	9.915795	3.8071113	Indianapolis	UCSC	2
2.0439801	9.16705	1.3659172	Church of Christ, Scientist	UCSB	7
1.2599614	9.646849	1.9669385	Canadian English	UCB	1
-1.1992233	10.356629	-1.2467119	Augusto Pinochet	UCSC	3
1.2281153	9.173707	2.2184844	United States	UCB	11
-0.77682835	9.170888	-1.3439436	Mistinguett	UCB	1
-3.6470659	10.992172	-0.37984765	Joseph McCarthy	UCB	6
-4.2731967	10.645989	-0.33926618	Daniel Boone	UCSB	2
1.5891435	8.777767	2.132567	Emancipation Proclamation	UCB	7
-1.057411	8.978173	4.294672	History of baseball in the United States	UCB	6
1.8612568	8.310183	0.77953917	Creation Spirituality	UCB	3
0.793596	8.6943655	0.9408827	God	UCB	5
2.11726	8.654461	1.4355212	Feminist spirituality	UCB	2
1.6370769	7.533803	0.78367805	New Thought Movement	UCB	5
2.2614622	9.1715145	1.3325222	Christianity and Judaism	UCD	12
-2.1492364	9.78077	0.6703949	Shakespeare authorship question	UCI	8
-2.174371	9.800205	0.60899705	William Shakespeare	UCSD	8
-2.178816	9.79385	0.6264608	Talk:William Shakespeare	UCB	1
2.058143	8.88002	1.0773866	Panentheism	UCB	1
-2.2101555	11.469268	0.3360951	Mary, mother of Jesus	UCB	8
-2.1457415	11.372263	0.38343683	Talk:Mary, mother of Jesus	UCB	1
2.4917188	9.092024	1.8563099	State terrorism	UCB	3
-0.6959501	9.012072	4.5009403	All-America Football Conference	UCB	4
1.5946727	9.663644	2.4323196	Demographics of Denmark	UCB	2
-0.8213077	8.919377	4.3447433	National Football League	UCR	10
1.7639749	8.777073	2.2187076	United States Declaration of Independence	UCB	6
-0.82835865	8.868426	4.383675	United States Football League	UCB	2
-0.8644522	8.901172	4.332176	American Football League	UCB	2
3.0049183	8.858416	3.7379873	1968 United States presidential election	UCB	6
2.4389598	8.807617	3.021815	1968 Democratic National Convention	UCB	3
-3.8264627	10.886928	-0.8689287	George McGovern	UCB	2
-0.14255524	10.316071	3.2473562	Colorado Front Range	UCB	2
1.4521102	9.144034	0.98268193	Talk:Biblical canon	UCB	5
1.4079335	9.1871605	0.99857855	Biblical canon	UCB	3
-2.3447382	10.0383215	-2.042369	Ralph Nader	UCB	7
0.39338806	9.702289	-0.4055865	Talk:Sgt. Pepper's Lonely Hearts Club Band	UCB	3
0.31263492	9.691323	-0.33489552	Sgt. Pepper's Lonely Hearts Club Band	UCB	3
-0.47930655	6.910309	-0.6847898	370	UCR	1
-1.0183176	8.270384	2.8314786	Horse racing	UCB	4
-0.7530627	7.686746	2.9647403	Parimutuel betting	UCB	2
-1.5504738	8.459131	1.0785896	Rubber Soul	UCSD	2
-4.620008	11.493918	-0.1599799	Michael Moore	UCLA	8
-1.4034623	7.5758963	1.7698102	Whose Line Is It Anyway? (British TV series)	UCB	6
0.8065729	8.298889	4.67108	U.S. Route 101	UCSB	2
0.47149897	8.749276	3.6213574	List of roads and highways	UCB	1
0.80936813	8.32089	4.426516	Talk:U.S. Route 1	UCB	1
0.3590881	10.115944	3.136777	San Francisco Bay Area	UCB	24
0.6530474	9.62559	-0.35751343	Maize	UCI	2
-0.52223533	9.218136	-1.478121	Chepang people	UCSD	1
1.1196092	9.022749	1.6786412	List of novelists by nationality	UCB	1
7.50841e-05	10.087005	3.4223814	Denver metropolitan area	UCB	1
0.38983968	9.641294	3.068747	Metropolitan area	UCB	3
-0.33508462	7.294734	-0.3367167	Return of the Secaucus 7	UCB	1
0.37959054	9.886092	3.1078024	Chinatown	UCSB	7
1.6068319	8.50898	2.8033204	Reaganomics	UCB	5
-0.21719098	8.29463	-4.153337	XHRF-FM	UCB	1
-0.11356064	10.260371	3.5060716	Ashland	UCB	1
0.2539157	9.29771	0.3521831	The Animals	UCSC	2
-4.081588	10.3336735	0.16635877	Talk:Bob Dylan	UCB	1
1.9630107	8.308273	1.7094141	Bushism	UCD	14
-1.1679857	10.177017	-1.2058147	Les Invalides	UCB	1
-0.8465141	8.897727	4.2653155	American football	UCB	6
-1.0646716	6.8917813	1.9148973	Starfleet	UCLA	2
-0.53857344	9.118642	0.48771	Cream (band)	UCLA	2
2.0253875	10.725534	1.9966947	Vietnam War	UCB	9
2.7236204	8.711317	3.4327424	Electoral college	UCB	9
1.8199809	10.407498	2.2536104	Korean War	UCI	5
-4.0700865	11.119364	-0.08403568	Rhodes	UCSC	1
1.7687588	9.291097	2.4413056	German reunification	UCD	2
1.575116	7.2494807	0.6186412	Grammatical mood	UCB	3
1.4340044	9.25187	2.4156098	Confederate States of America	UCB	12
0.9121636	8.038155	-1.7124348	Unicycle	UCSC	1
-1.5621926	9.769078	1.4126475	Saxophonist	UCSC	1
1.1536814	8.2071295	2.2564898	Talk:Capital punishment by country	UCB	1
-2.7997365	10.00506	0.1456935	Gospel of Matthew	UCB	1
-3.6128664	10.3860235	0.47133124	Wolfman Jack	UCB	1
-2.260838	8.694064	-1.1776007	Chupacabra	UCD	5
3.017218	8.906414	3.7308419	2000 United States presidential election	UCB	12
-0.5145582	9.43144	3.0782683	Chicago	UCSD	6
1.1918561	8.701561	1.2879343	United States Green Party	UCB	1
1.1716342	6.1883173	-0.00018893217	Anti-metrication	UCB	3
1.7293746	7.193222	1.4883714	Monopoly (game)	UCB	8
-2.7358382	9.9585085	0.12304189	Gospel of Mark	UCB	1
1.5538228	7.024372	2.1372554	Talk:Jesus/Archive 1	UCB	1
-3.7045147	11.116954	-1.1209579	Vince Lombardi	UCB	2
1.5243404	6.1282387	-0.3685766	Abelian group	UCSB	1
1.632019	6.0993085	0.038664486	Basis	UCB	1
1.4709814	9.933644	2.1063948	Basque Fatherland and Liberty	UCB	1
-0.454782	9.205133	0.79355395	Blitz	UCB	1
-4.3429294	10.103587	-0.45389983	Bob Wills	UCLA	3
1.2195374	9.5491295	2.4584494	Talk:Canada	UCB	1
-0.9481687	9.291612	1.5925342	Country music	UCLA	5
-1.281796	9.48676	1.6845448	Lists of composers	UCSB	1
-0.014337183	13.944204	0.7313472	User:DMD	UCB	1
1.2002945	7.0716224	0.41333473	Talk:Dative case	UCB	2
-0.44311103	9.110318	-1.5184257	Esperanto	UCB	4
-2.734567	10.307034	-1.5815389	Erwin Rommel	UCLA	3
1.5628828	9.864151	1.2791255	Frisian languages	UCB	3
-0.86108994	7.6303363	2.1809194	List of film genres	UCB	1
2.0486615	8.423484	1.3835765	Talk:Feminism	UCSB	40
-0.7064783	9.015201	-1.6276748	Glasnost	UCSC	3
-3.373901	10.4181595	-0.18805528	George Harrison	UCLA	25
1.4650829	10.066384	1.2248422	Hiragana	UCLA	2
2.5110078	9.418702	1.9131659	Iran–Contra affair	UCB	5
-0.7594244	8.366888	-1.3317889	Ido	UCB	6
-1.2184021	8.823559	2.6025786	Improvisational theater	UCB	1
1.3172174	6.858398	0.8548971	Intelligent design	UCSB	9
1.2964617	6.902563	0.79048204	Talk:Intelligent design	UCB	1
0.13720243	7.711741	1.2187113	I Have a Dream	UCB	1
0.20420253	7.7024345	1.1653098	Talk:I Have a Dream	UCB	1
-2.995132	9.525462	0.64396274	Jim Henson	UCB	1
1.6663841	6.178133	0.09698539	Talk:Linearly independent	UCB	1
2.016623	8.943546	1.0611715	Monotheism	UCI	3
-1.6755805	9.037615	-2.6523328	Meir Kahane	UCI	2
-2.1968677	10.583331	0.605693	Talk:Martin Luther King Jr.	UCB	2
-1.1271079	8.686497	-1.4529402	Molokans	UCSC	2
1.307062	9.513476	1.6312873	North American English	UCB	1
0.88218933	7.973541	0.75626945	New Left	UCB	1
2.217192	9.316507	1.4690812	Orthodox	UCI	1
-3.6965935	10.320094	-0.8068225	Philip K. Dick	UCR	4
1.9732742	9.039611	1.4798858	Protestantism	UCSC	2
-2.2448802	10.013755	-2.1077862	Perestroika	UCLA	2
-0.9788624	7.6973743	-1.2576456	PDP-11	UCSB	4
1.963263	8.246845	1.6699915	Talk:Pacifism	UCB	1
-4.2560716	10.028943	-1.0160683	Ron Jeremy	UCSC	5
1.0662109	9.360512	-0.103063844	Soft drink	UCI	5
1.7416399	6.0544715	0.04282182	Linear span	UCB	1
1.681659	6.0633183	0.0014931795	Talk:Linear span	UCB	1
-3.5569725	11.263339	-1.3287483	Sonny Bono	UCLA	2
1.3084342	10.119849	2.0651612	Spanish cuisine	UCSD	1
-1.8223456	9.403192	4.8998423	Super Bowl III	UCB	1
-2.226898	10.2343855	0.21713181	Sinatra Doctrine	UCB	3
1.6505455	8.996296	-1.8471179	Sexually transmitted infection	UCSC	4
-0.8434995	8.443759	4.008164	Talk:Summer Olympic Games	UCB	1
1.2769352	9.349274	3.9766006	The Graduate	UCB	8
1.3797935	6.289242	-0.3400102	Talk:Theory of relativity	UCB	1
1.4650695	6.419939	0.5912825	Turing completeness	UCSD	1
2.0568228	8.098288	3.1121407	Commonwealth of Nations	UCB	3
2.2435908	8.765323	2.642387	Democratic Party (United States)	UCB	4
-0.006333737	11.002826	2.5288758	Volcano	UCD	4
1.9954631	10.690603	2.0067434	Talk:Vietnam War	UCB	4
-0.5462283	7.979079	1.50535	Talk:2001: A Space Odyssey	UCB	1
-3.064318	10.55357	-2.088023	Janis Ian	UCB	1
-3.7665343	10.145488	0.022114614	Thomas Pynchon	UCB	1
-1.0013045	9.274995	1.0922116	Bluegrass band	UCSC	1
-1.8360565	10.273002	-0.5839828	Caesar salad	UCSC	1
1.2259778	11.431612	1.8825996	Battle of Jenin (2002)	UCB	1
-0.35872978	9.747363	3.7135026	Detroit	UCLA	3
-1.1429509	9.71892	1.2546688	Harmonica	UCSC	1
1.431235	7.6838045	0.90886176	Talk:Political correctness	UCB	1
2.7584152	8.710589	3.4387608	Talk:United States Electoral College	UCB	3
1.8066413	6.606516	0.69265306	Mathematics	UCB	7
1.8512594	8.48863	2.018253	Bush Doctrine	UCB	4
2.7508128	8.708969	3.4246333	United States Electoral College	UCLA	7
1.3152599	8.167399	1.8387213	Hate crime	UCOP	2
-3.3179624	11.414318	-1.1371262	Abbie Hoffman	UCB	1
-2.1955667	8.694395	-1.1911011	Talk:Chupacabra	UCD	1
1.8184209	7.4714794	-1.764386	Catalysts	UCSB	1
0.7121459	8.140169	-0.71412665	Ceramic	UCSB	7
1.2138782	7.760926	-1.6170324	Polyester	UCSB	1
0.5476715	7.744392	-0.8148013	Metal matrix composite	UCSB	2
-0.6878013	7.745261	2.9097428	Gambling	UCSB	2
1.1304569	6.9829483	-1.0841452	Instrumentation	UCR	1
1.2730305	6.1566234	0.06164375	Natural number	UCLA	4
1.3569134	6.432411	0.11370829	Real number	UCD	2
-3.107081	11.391765	-0.32328025	Steve Goodman	UCSB	2
1.9716232	9.041192	1.2266369	Talk:Doctrines of Jehovah's Witnesses	UCB	5
-0.87366396	7.1410804	0.36990693	The Pluto debate	UCB	1
1.3499563	10.14745	-0.94266456	Marimba	UCSC	1
-0.22883317	10.032724	3.7509398	Gary, Indiana	UCB	1
1.656751	7.5513735	-1.7319212	Polyacrylamide gel electrophoresis	UCSC	5
-2.673984	9.582292	0.15153502	Soda Hall	UCB	1
-2.3804905	11.820855	-0.033681408	Anne Lamott	UCB	1
-0.97172767	7.683579	1.2692218	Urban legend	UCB	2
-0.9564496	8.447227	-1.4706653	Talk:Pim Fortuyn List	UCB	1
-2.5985246	10.637123	-1.1920935	Claude Monet	UCSC	1
-0.6130895	8.339611	0.36364543	Oh hell	UCB	1
0.3780455	5.9436755	-0.39042115	Whole-tone scale	UCSD	5
1.89067	7.8299527	0.64988905	Equal temperament	UCSC	4
0.4865439	7.579094	0.97418815	Whole step	UCSC	2
0.596044	6.08637	-0.23248489	Musical tuning	UCSC	5
0.40766358	7.5078015	1.0100503	Half step	UCSC	2
-3.463539	10.237808	-1.1161008	Orlando Letelier	UCSD	2
0.6152203	9.766298	-0.40165788	John Candy	UCB	1
1.8608534	8.114442	1.1906748	Fundamentalism	UCSD	3
1.073465	10.354443	2.4226878	Erie Canal	UCB	1
1.9869554	7.3824034	0.20809911	Natural transformation	UCB	2
-3.9994075	11.087871	-1.0999646	MC Ren	UCLA	2
-1.5308958	8.722754	1.1500971	The Adventures of Rocky and Bullwinkle and Friends	UCB	4
1.1524787	8.018851	0.5445055	Talk:Original sin	UCB	2
0.6727988	7.665559	0.9915164	Art	UCLA	2
0.90084314	8.68845	1.1355702	Pan-Green Coalition	UCSD	6
0.72719276	8.680847	1.2140783	Pan-Blue Coalition	UCSD	7
-1.4324881	8.190343	-2.5340805	Kuomintang	UCSD	10
-2.5360327	8.05354	-1.5111022	Chinese unification	UCSD	3
2.2542348	8.746099	2.6049306	Democratic Progressive Party	UCSD	7
2.1666737	10.669409	2.3786383	Taiwan Independence Party	UCSD	2
2.1031978	10.713015	2.3870523	Politics of Taiwan	UCSD	8
-0.52703124	7.9678383	-0.7049144	P.R.C.	UCSD	1
2.4745677	9.947678	2.2795815	List of political parties by region	UCSD	7
2.1663983	10.649272	2.363641	New Party (Taiwan)	UCSD	5
-3.7728589	10.114717	-0.66774756	James Soong	UCSD	3
2.0184896	10.75113	2.3729963	Taiwan Province	UCSD	4
2.174947	10.712014	2.3179312	People First Party (Taiwan)	UCSD	3
-1.1715022	8.702094	-1.6603462	Li Ao	UCSD	4
-0.888066	9.375044	-1.5876961	Mise Éire	UCSD	4
1.8920598	10.583611	2.2038167	China	UCSD	1
-2.7467065	8.992647	-1.637554	Lien Chan	UCSD	3
-1.4478647	8.196037	-2.525775	New Kuomintang Alliance	UCSD	2
-2.9968846	7.957519	-1.6537296	Chen Shui-bian	UCLA	12
-2.8253107	8.059867	-1.6210561	Legislative Yuan	UCSD	4
2.1698477	8.76726	2.585249	Political party	UCSD	1
0.6924089	6.0923266	-0.23249893	Pythagorean tuning	UCSC	1
0.5741371	6.994134	0.048678767	Quarter comma meantone	UCSC	1
2.1474168	8.963057	3.0195632	National Assembly	UCSD	1
-4.7975144	10.572883	-1.0555146	Richard Harris	UCB	1
1.6748822	9.340514	2.218674	Convention on the Future of Europe	UCSD	3
2.1040223	10.690112	2.3410738	Taiwan Relations Act	UCSD	2
1.51454	6.3146615	-0.2682851	Talk:Periodic function	UCD	1
0.11011079	8.582874	-0.3483515	Hair	UCD	2
1.9477243	10.765489	2.4033463	Taipei	UCSD	11
0.5881854	6.058586	-0.26644447	Perfect fifth tuning	UCSC	1
1.9173893	7.5380406	-0.58088434	Biogeography	UCB	1
1.8558121	9.706896	2.5638764	Baltic state	UCB	1
-1.2595164	8.619559	3.7120085	Pitch (music)	UCSC	1
1.8843213	9.552834	2.5406337	Warsaw Pact	UCB	1
0.031019641	7.9801397	0.7131614	Stop	UCSC	1
1.2165823	10.072489	2.9166453	Republic of Ireland	UCSD	3
-3.8480887	10.093807	-0.7451001	Talk:Walter Mondale	UCB	3
1.5946246	7.153594	2.1849387	Talk:George W. Bush/Archive 2	UCB	2
0.82765126	6.052695	1.1470107	Ad hoc protocols implementations	UCSB	1
-0.33381534	5.717914	4.582383	November 6	UCLA	4
2.1664984	9.553286	2.5031343	Soviet-bloc	UCB	1
1.8632956	7.7829313	0.6180154	Meantone temperament	UCB	2
2.0299637	8.415529	1.783501	Talk:Bushism	UCB	3
1.504365	9.479815	1.1915624	Talk:Bilingual education	UCB	1
0.4519504	7.8193784	-0.84785	Extractive metallurgy	UCSB	1
0.7007283	8.01534	-0.49382892	Spray drying	UCSB	1
0.62784237	8.087459	-0.70332944	Sintering	UCD	3
1.2852224	7.553343	0.80553085	Talk:Discrediting tactic	UCB	2
1.1183724	9.617293	2.5287364	Quebec	UCSD	1
1.2907497	7.607094	0.54421747	Discrediting tactic	UCB	1
3.1521676	13.027313	2.6918426	May 12	UCLA	4
0.11219705	8.21093	-1.5974522	Just intonation	UCSD	4
-3.033207	10.722758	-1.2167937	Paul Cézanne	UCSC	1
-0.047664743	8.685496	1.01762	Blackjack	UCSC	4
-0.2260956	10.277942	3.472424	Upper Peninsula of Michigan	UCB	1
2.1142745	9.282042	1.4617653	Presbyterianism	UCSD	2
-0.13252063	10.445537	3.6007411	Littleton, Colorado	UCB	1
-4.106796	11.302007	-1.4660636	Jimmy Carter	UCB	8
-1.6907071	9.235454	-1.3419634	Art Garfunkel	UCB	1
1.800823	8.557651	1.7075833	Imperialism	UCSC	4
-0.3910704	8.544209	0.76031166	Snowball effect	UCSC	1
1.4736265	7.167446	1.1303219	Proletariat	UCB	3
0.054322924	8.932337	0.005454476	Pussy	UCB	1
-3.1951969	10.38652	-1.0801321	Arnold Schoenberg	UCI	6
-3.0201244	10.610343	-0.30681226	Richard III of England	UCB	1
-0.8961507	8.714778	1.1079695	The Temptations	UCB	2
2.1519682	10.677194	2.3665557	Green Party Taiwan	UCSD	1
2.1695807	10.6633215	2.371595	Taiwan Solidarity Party	UCSD	1
3.00519	8.863258	3.7620196	1960 United States presidential election	UCLA	2
-0.6617771	8.349079	-1.4442967	ÉIRE	UCSD	1
-0.20402792	10.265776	3.5251307	Ashland, Oregon	UCLA	7
-3.9353967	10.784516	-0.09567103	Arlo Guthrie	UCD	2
1.78261	5.6812563	-0.33472273	Bézout's theorem	UCB	2
1.7493707	5.8194613	-0.119246215	Hilbert's Nullstellensatz	UCB	1
-0.82293606	10.431687	1.1586561	Book of Jonah	UCLA	3
2.2087173	8.78864	1.090865	Talk:Christianity and homosexuality	UCB	1
-2.8606503	10.670617	-1.4044558	Georges Perec	UCSC	1
2.24316	8.815506	1.076572	Christianity and homosexuality	UCB	3
0.6210747	10.422854	2.1692555	Cabrera, Balearic Islands	UCB	2
-1.4773843	7.587302	1.7876375	Talk:List of American television series based on British television series	UCB	2
-1.4313809	7.579357	1.7926297	List of American television series based on British television series	UCB	1
1.1466005	7.995705	-1.7616203	Polydispersity	UCSB	1
1.8510213	7.053892	-0.15993159	Transposable element	UCB	8
-0.15174295	6.9811454	0.14962211	Pedal	UCSC	1
0.7155385	6.506713	1.3015425	End-user license agreement	UCB	1
1.6463169	8.966922	2.0462966	American Revolutionary War	UCSD	4
-0.9816033	9.373034	-2.4085019	Raccoon	UCB	4
0.51318973	9.745512	-0.5386288	Chili pepper	UCI	2
1.7319028	10.6398735	1.79739	Taiwanese Hokkien	UCSD	24
-2.0221984	8.532518	-1.594907	Hakka Chinese	UCSD	2
-0.6712532	8.930996	-2.0548704	UNO	UCSD	3
-1.9824151	8.802588	-2.0372655	Yamuna in Hinduism	UCSD	2
1.7654036	10.578037	1.9571295	Taiwanese indigenous peoples	UCSD	17
1.4488193	10.132291	1.5054728	Austronesian languages	UCSD	3
1.6212215	10.425492	1.5730492	Written Chinese	UCSD	1
-0.10034973	8.413843	1.0265778	If on a winter's night a traveler	UCSD	1
-3.3969696	10.444405	-0.5286405	Henry John Temple, 3rd Viscount Palmerston	UCB	1
2.0156143	8.164883	2.0963337	Talk:Socialism/Archive 1	UCB	1
-2.7379446	9.934068	0.17044982	Gospel of Luke	UCB	1
0.68680584	7.315323	1.9193019	Postal code	UCR	1
-4.334391	10.350396	0.22573143	Chuck Jones	UCR	1
1.6261218	9.62271	2.2675524	Finland Swedish	UCB	3
