name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
finance,,,,
finance/Democrat,,,,
"finance/Democrat/ABUGHAZALEH, KATHERINE M.",7882,3400,125,KAT FOR ILLINOIS
"finance/Democrat/ADUBATO, BETH ELLEN PH.D.",250,0,0,FRIENDS OF BETH ELLEN ADUBATO
"finance/Democrat/AGARWAL, ETHAN",255.03,500,0,ETHAN AGARWAL FOR CONGRESS
"finance/Democrat/AGER, JAMIE",20523.8,0,0,AGER FOR CONGRESS
"finance/Democrat/AGUILAR, PETE",3507.5,0,0,PETE AGUILAR FOR CONGRESS
"finance/Democrat/AGUIRRE, BRITTA",175,0,0,BRIT FOR WV
"finance/Democrat/AHMED, JUNAID",2625,0,0,FRIENDS OF JUNAID
"finance/Democrat/ALEMAN, KATHERINE",2150,0,0,KATHERINE ALEMAN FOR CONGRESS
"finance/Democrat/ALI, MUSSAB",250,0,0,ALI FOR CONGRESS
"finance/Democrat/ALLAM, NIDA",5250,0,1000,NIDA FOR NC
"finance/Democrat/ALLRED, COLIN",3245,0,350,ALLRED FOR TEXAS
"finance/Democrat/ALLRED, COLIN",11735,0,0,ALLRED FOR TEXAS 2026
"finance/Democrat/ALSOBROOKS, ANGELA",75,0,0,ALSOBROOKS FOR SENATE
"finance/Democrat/ALTMAN, SUSAN COPIUS",770,0,0,ALTMAN FOR CONGRESS
"finance/Democrat/AMIWALA, BUSHRA",660,0,0,BUSHRA FOR CONGRESS
"finance/Democrat/ANDRES-BECK, BETH",250,0,0,BETH ANDRES-BECK FOR DEMOCRACY
"finance/Democrat/ANDREWS, ANNIE",7040,1000,0,DR. ANNIE ANDREWS FOR SENATE
"finance/Democrat/ASKINS, KISHLA",811,0,0,KISHLA ASKINS FOR CONGRESS
"finance/Democrat/AUCHINCLOSS, JAKE",3000,0,0,JAKE AUCHINCLOSS FOR CONGRESS
"finance/Democrat/AVILA CHEVALIER, DARIALIZA",3700,0,0,DARIALIZA FOR CONGRESS
