name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
finance,,,,
finance/Democrat,,,,
"finance/Democrat/ADDIS, DAWN J.",350.0,0.0,0.0,Dawn Addis for Assembly 2026
"finance/Democrat/ALLEN, BEN",2180.0,350.0,0.0,Ben Allen for Insurance Commissioner 2026
"finance/Democrat/ALLEN, BEN",1000.0,0.0,0.0,Ben Allen Senate 2022 Officeholder Account
"finance/Democrat/ARREGUIN, JESSE",7000.0,125.0,0.0,Arreguin for Senate 2028
"finance/Democrat/ATKINS, TONI G.",500.0,0.0,0.0,Toni Atkins for Governor 2026
"finance/Democrat/BECERRA, XAVIER",525361.27,1075.0,800.0,Becerra for Governor 2026
"finance/Democrat/BECKER, JOSH",900.0,0.0,0.0,Josh Becker for Senate 2028
"finance/Democrat/BECKER, JOSH",100.0,0.0,0.0,Senator Josh Becker Justice and Climate Ballot Measure Committee
"finance/Democrat/BECKMAN, ELI",1275.0,100.0,0.0,Eli Beckman for Assembly 2026
"finance/Democrat/BLAKESPEAR, CATHERINE",500.0,0.0,0.0,Catherine Blakespear for Senate 2026
"finance/Democrat/BONTA, MIA",335.0,0.0,0.0,Mia Bonta for Assembly 2026
"finance/Democrat/BONTA, ROB",38614.5,37.5,3000.0,Rob Bonta for CA Attorney General 2026
"finance/Democrat/BRANDON, JARON",3000.0,0.0,0.0,Committee to Elect Jaron Brandon for State Senate 2026
"finance/Democrat/BRICENO, ADA",200.0,0.0,0.0,Ada Briceno for State Assembly 2026
"finance/Democrat/CABALDON, CHRISTOPHER",1000.0,0.0,0.0,Christopher Cabaldon for Senate 2028
"finance/Democrat/CABALLERO, ANNA",500.0,0.0,0.0,Anna Caballero for State Treasurer 2026
"finance/Democrat/CELEDON, SANDRA",0.0,2000.0,0.0,Sandra Celedon for Assembly 2026
"finance/Democrat/CERVANTES, SABRINA",11800.0,0.0,0.0,Sabrina Cervantes for Secretary of State 2030
"finance/Democrat/CHAVEZ ZBUR, RICK",1000.0,0.0,0.0,Re-Elect Rick Chavez Zbur for Assembly 2026
