name,hash,cityofberkeley_amount,ucberkeley_amount,both_amount,committee_name
finance,,,,,
finance/Democrat,,,,,
finance/Democrat/Katherine M. Abughazaleh,261f248,7882.0,3400.0,125.0,KAT FOR ILLINOIS
finance/Democrat/Beth Ellen Adubato Ph.D.,dde2036,250.0,0.0,0.0,FRIENDS OF BETH ELLEN ADUBATO
finance/Democrat/Ethan Agarwal,fd96f44,255.03,500.0,0.0,ETHAN AGARWAL FOR CONGRESS
finance/Democrat/Jamie Ager,b378582,20523.8,0.0,0.0,AGER FOR CONGRESS
finance/Democrat/Pete Aguilar,6eaf3d0,1257.5,0.0,0.0,PETE AGUILAR FOR CONGRESS
finance/Democrat/Britta Aguirre,f1837ee,175.0,0.0,0.0,BRIT FOR WV
finance/Democrat/Junaid Ahmed,5422688,2625.0,0.0,0.0,FRIENDS OF JUNAID
finance/Democrat/Katherine Aleman,c30f786,2150.0,0.0,0.0,KATHERINE ALEMAN FOR CONGRESS
finance/Democrat/Mussab Ali,2c14108,250.0,0.0,0.0,ALI FOR CONGRESS
finance/Democrat/Nida Allam,104e823,5250.0,0.0,1000.0,NIDA FOR NC
finance/Democrat/Colin Allred,a03d2ab,2745.0,0.0,350.0,ALLRED FOR TEXAS
finance/Democrat/Colin Allred,a03d2ab,11735.0,0.0,0.0,ALLRED FOR TEXAS 2026
finance/Democrat/Angela Alsobrooks,93473c4,75.0,0.0,0.0,ALSOBROOKS FOR SENATE
finance/Democrat/Susan Copius Altman,429999a,770.0,0.0,0.0,ALTMAN FOR CONGRESS
finance/Democrat/Bushra Amiwala,2c0ddb8,660.0,0.0,0.0,BUSHRA FOR CONGRESS
finance/Democrat/Beth Andres-Beck,f3ddb91,250.0,0.0,0.0,BETH ANDRES-BECK FOR DEMOCRACY
finance/Democrat/Annie Andrews,d0d5565,7025.0,1000.0,0.0,DR. ANNIE ANDREWS FOR SENATE
finance/Democrat/Kishla Askins,5c83777,811.0,0.0,0.0,KISHLA ASKINS FOR CONGRESS
