hash,date,amount,bucket,initials
001f179,2026-01-27,500.0,city,JB
001f179,2026-03-10,500.0,city,JB
001f179,2026-03-17,250.0,city,MH
0050738,2025-09-28,12.5,city,TS
0050738,2025-11-22,25.0,city,SP
0050738,2026-01-30,3500.0,city,DA
0050738,2026-03-16,25.0,city,HW
0050738,2026-05-26,25.0,city,SP
0050738,2026-06-14,25.0,city,SP
01656d6,2026-03-10,500.0,city,JB
01b4a9a,2026-05-12,3500.0,city,SV
01b4a9a,2026-05-12,3500.0,city,SV
01b4a9a,2026-05-13,3500.0,city,TL
01b4a9a,2026-05-13,3500.0,city,TL
033d483,2026-02-17,1000.0,ucb,SS
0343622,2025-09-16,500.0,city,PK
036baf0,2025-09-29,250.0,city,MC
036baf0,2025-12-19,250.0,city,MC
042d21f,2025-11-19,100.0,city,PW
042d21f,2026-03-06,500.0,city,JB
042d21f,2026-04-07,500.0,city,PW
042d21f,2026-05-13,250.0,city,JB
042d21f,2026-06-09,15.0,city,DW
04ccca8,2026-01-28,357.14,city,DS
04ccca8,2026-01-28,357.14,city,MD
04ccca8,2026-01-29,714.29,city,JG
04ccca8,2026-01-29,285.71,city,PB
04ccca8,2026-01-29,142.86,city,PS
04ccca8,2026-01-29,285.71,city,TS
04ccca8,2026-01-30,285.71,city,MH
04ccca8,2026-02-07,3500.0,city,SS
04ccca8,2026-02-07,3500.0,city,SS
04ccca8,2026-02-20,714.29,city,SM
04ccca8,2026-03-23,416.66,city,CC
04ccca8,2026-03-23,166.66,city,PS
04ccca8,2026-03-23,3500.0,city,SG
04ccca8,2026-03-24,1666.66,city,JG
04ccca8,2026-03-24,166.66,city,PB
04ccca8,2026-03-25,166.66,city,MH
04ccca8,2026-04-12,250.0,ucb,GL
04ccca8,2026-04-23,100.0,city,AB
04ccca8,2026-05-03,100.0,city,AB
04ccca8,2026-05-13,250.0,city,AB
04ccca8,2026-05-21,100.0,city,AB
04ccca8,2026-06-24,500.0,city,BC
0632894,2026-04-19,250.0,city,HG
0641872,2025-08-22,250.0,city,MF
0641872,2025-11-10,500.0,city,KH
06792df,2025-08-12,3500.0,city,JS
06792df,2025-08-26,250.0,city,JB
06792df,2025-08-31,250.0,city,CB
06792df,2025-09-01,250.0,city,SD
06792df,2025-09-24,1000.0,city,RS
06792df,2025-09-25,250.0,city,AB
06792df,2025-09-27,333.34,city,KS
06792df,2025-11-10,100.0,city,MN
06792df,2025-11-11,250.0,city,JB
