name,hash,cityofberkeley_amount,ucberkeley_amount,both_amount,committee_name
finance,,,,,
finance/Democrat,,,,,
finance/Democrat/Dawn J. Addis,5743aac,350.0,0.0,0.0,Dawn Addis for Assembly 2026
finance/Democrat/Ben Allen,58d6000,2180.0,350.0,0.0,Ben Allen for Insurance Commissioner 2026
finance/Democrat/Ben Allen,58d6000,1000.0,0.0,0.0,Ben Allen Senate 2022 Officeholder Account
finance/Democrat/Jesse Arreguin,6b00d4c,7000.0,125.0,0.0,Arreguin for Senate 2028
finance/Democrat/Toni G. Atkins,e53577c,500.0,0.0,0.0,Toni Atkins for Governor 2026
finance/Democrat/Xavier Becerra,db72707,526086.27,1075.0,900.0,Becerra for Governor 2026
finance/Democrat/Josh Becker,d757584,900.0,0.0,0.0,Josh Becker for Senate 2028
finance/Democrat/Josh Becker,d757584,100.0,0.0,0.0,Senator Josh Becker Justice and Climate Ballot Measure Committee
finance/Democrat/Eli Beckman,5fd43a3,1275.0,100.0,0.0,Eli Beckman for Assembly 2026
finance/Democrat/Catherine Blakespear,56c4a82,500.0,0.0,0.0,Catherine Blakespear for Senate 2026
finance/Democrat/Mia Bonta,6c94717,335.0,0.0,0.0,Mia Bonta for Assembly 2026
finance/Democrat/Rob Bonta,35dc28f,48439.5,37.5,500.0,Rob Bonta for CA Attorney General 2026
finance/Democrat/Jaron Brandon,64f4085,3000.0,0.0,0.0,Committee to Elect Jaron Brandon for State Senate 2026
finance/Democrat/Ada Briceno,5d109bf,200.0,0.0,0.0,Ada Briceno for State Assembly 2026
finance/Democrat/Christopher Cabaldon,6506745,1000.0,0.0,0.0,Christopher Cabaldon for Senate 2028
finance/Democrat/Anna Caballero,a4c9d99,500.0,0.0,0.0,Anna Caballero for State Treasurer 2026
finance/Democrat/Sandra Celedon,a80c839,0.0,2000.0,0.0,Sandra Celedon for Assembly 2026
finance/Democrat/Sabrina Cervantes,5dcb915,11800.0,0.0,0.0,Sabrina Cervantes for Secretary of State 2030
